feature,mean_abs_shap
http.request.version,4.578105
tcp.ack,2.3653786
tcp.seq,2.3098164
tcp.flags,2.209867
tcp.len,1.2970514
udp.stream,0.5998376
tcp.checksum,0.49559397
icmp.seq_le,0.47281155
mqtt.hdrflags,0.37298164
tcp.connection.rst,0.36267316
icmp.checksum,0.3616038
tcp.connection.syn,0.29068622
tcp.flags.ack,0.24105678
tcp.ack_raw,0.21492136
tcp.connection.synack,0.051151175
tcp.connection.fin,0.0
http.response,0.0
http.content_length,0.0
mqtt.len,0.0
mqtt.msgtype,0.0
