Model,Accuracy,Precision,Recall,F1
XGBoost+SMOTE,0.9935907375820541,0.9996288736314716,0.9927513975059893,0.9961782654256303
RF+SMOTE,0.9929704863803174,0.9975957092657666,0.9940414030345844,0.9958153846153847
RF+RUS,0.9931255491807516,0.9988876529477196,0.9929356840100744,0.9959027756384584
SVM,0.9512069054633794,0.953564034309376,0.990232815283494,0.9715525554484089
XGBoost+PCA,0.9887837907685946,0.9973371315333168,0.989311382763069,0.9933080457643322
XGBoost+RF-FS,0.9931772367808963,0.9995050423807461,0.9923828244978192,0.9959312002959128
